name,c_K2CO3,c_KHCO3,Total,Wavenumber,R1-1,R1-2,R1-3,R2-1,R2-2,R2-3,R3-1,R3-2,R3-3,R4-1,R4-2,R4-3,R5-1,R5-2,R5-3,R6-1,R6-2,R6-3,R7-1,R7-2,R7-3,R8-1,R8-2,R8-3,R9-1,R9-2,R9-3,R10-1,R10-2,R10-3,R11-1,R11-2,R11-3
,,,,727.16363,101.03335,101.36664,101.09772,102.28551,102.46994,102.11555,103.15338,103.01885,102.74002,102.07863,101.79952,101.8612,101.08818,100.72163,100.597,99.86414,99.78045,99.90994,101.91666,101.86949,101.57009,100.97528,100.98903,100.93646,100.37046,100.62435,100.76684,99.5379,99.52964,99.4507,99.21,98.96098,99.05275
,,,,729.09245,101.05506,101.45482,101.21577,102.18278,102.47835,102.05027,102.86987,102.96847,102.55846,101.91925,101.87965,101.91318,100.97395,100.66473,100.45604,99.83492,99.75746,99.7908,101.87565,101.89242,101.49741,100.82563,101.13088,100.98541,100.16097,100.55997,100.78027,99.362,99.50886,99.39299,99.19508,99.02593,99.12172
,,,,731.02126,101.10219,101.50449,101.26338,102.13835,102.29877,101.80293,102.81155,102.8434,102.15837,101.92113,101.72814,101.94459,100.82118,100.45164,100.2816,99.68219,99.5864,99.51111,101.79182,101.75085,101.38866,100.78845,100.94302,100.96352,100.06653,100.45235,100.80097,99.19526,99.31052,99.25216,99.04977,98.9912,99.09047
,,,,732.95008,100.92613,101.43061,101.2736,102.10912,102.07206,101.71608,102.77987,102.53605,101.8652,101.96724,101.62799,101.92558,100.62579,100.42829,100.21849,99.60306,99.32975,99.35508,101.67352,101.39888,101.3244,100.78177,100.68557,100.95425,100.1314,100.33018,100.65395,99.1637,99.11528,99.181,98.96848,98.94801,98.94862
,,,,734.8789,100.84934,101.4015,101.15905,101.97134,101.94883,101.77685,102.45471,102.28929,101.8215,101.88574,101.54977,101.86627,100.51446,100.43993,100.188,99.32253,99.22365,99.37861,101.45492,101.27024,101.18094,100.78494,100.55495,100.82429,100.0222,100.23584,100.48076,99.19811,99.03812,99.13776,99.0412,98.90976,98.91239
,,,,736.80771,100.8672,101.37494,100.95724,101.81467,101.79287,101.70039,102.08009,102.16746,101.75559,101.83054,101.49257,101.63812,100.41254,100.23352,100.13086,99.0799,99.08104,99.07033,101.30235,101.19496,100.94657,100.64983,100.43065,100.52093,99.73203,100.04404,100.2911,99.04202,98.95855,98.85711,99.10107,98.86213,98.86776
,,,,738.73653,100.86897,101.29331,100.93027,101.69698,101.58472,101.54492,101.97569,102.08972,101.52857,101.70627,101.5205,101.5171,100.30671,100.10502,100.02722,99.02712,98.89192,98.77247,101.06521,101.08301,100.8544,100.61212,100.47975,100.42659,99.64452,99.91794,100.17527,98.90181,98.87842,98.7284,99.0782,98.81518,98.68142
,,,,740.66534,100.86193,101.15389,100.93428,101.61338,101.55836,101.43089,101.88323,101.90644,101.34012,101.61683,101.57697,101.52276,100.33878,100.08075,100.00171,98.82773,98.73143,98.70101,100.95754,100.95571,100.85843,100.60409,100.53305,100.52415,99.62427,99.83762,100.15457,98.71616,98.83792,98.70022,98.94235,98.85764,98.68395
,,,,742.59416,100.73698,101.09831,100.84939,101.39208,101.4107,101.24905,101.6906,101.68138,101.17304,101.55365,101.36556,101.4717,100.27898,99.94873,99.83569,98.57989,98.56129,98.63506,100.79156,100.76399,100.5742,100.53029,100.37308,100.54657,99.58707,99.76942,100.01785,98.59671,98.73949,98.61312,98.80078,98.79774,98.75617
,,,,744.52298,100.569,101.14551,100.84565,101.12494,101.29991,101.16194,101.42345,101.43917,101.0088,101.45753,101.28699,101.3671,100.11626,99.84758,99.71676,98.43692,98.4305,98.49929,100.65937,100.5601,100.3614,100.47659,100.27485,100.38755,99.55115,99.74001,99.81418,98.56981,98.6819,98.45917,98.72589,98.64679,98.88425
,,,,746.45179,100.77151,101.28895,101.00643,101.19831,101.40056,101.23696,101.43038,101.35649,101.02406,101.59206,101.47495,101.34566,100.08518,99.96453,99.9232,98.43946,98.48951,98.38161,100.75642,100.52154,100.41948,100.55425,100.36755,100.45175,99.62437,99.79125,99.76946,98.64347,98.76991,98.46404,98.85986,98.69511,98.97886
,,,,748.38061,100.67443,101.16082,100.93345,101.14499,101.15519,101.14621,101.32691,101.10856,100.84922,101.59535,101.51027,101.3295,99.88511,99.86124,99.79029,98.29169,98.29178,98.31257,100.63817,100.42642,100.35627,100.45302,100.20836,100.33652,99.57954,99.69095,99.71806,98.48489,98.55389,98.41673,98.87751,98.70143,98.91715
,,,,750.30942,100.43114,100.96291,100.70714,100.93461,100.96362,100.97799,100.98164,100.85838,100.48546,101.48258,101.25187,101.28279,99.60512,99.54951,99.51598,98.04553,98.06281,98.21295,100.47069,100.21374,100.19702,100.23054,100.03023,100.1553,99.38747,99.51566,99.62963,98.29167,98.27245,98.35192,98.71595,98.57654,98.72649
,,,,752.23824,100.52552,100.99417,100.85867,101.03393,101.06198,100.90473,100.92816,100.86453,100.37782,101.50556,101.19197,101.44459,99.73767,99.58577,99.52747,97.95015,98.04981,98.1377,100.4314,100.12178,100.1486,100.17603,100.07837,100.13264,99.30877,99.41571,99.65027,98.37016,98.26875,98.29172,98.72991,98.66776,98.66537
,,,,754.16706,100.61663,101.09149,100.98787,101.02175,101.06477,100.89371,100.81526,100.76063,100.24246,101.60823,101.25187,101.41306,99.87757,99.55363,99.51652,98.01177,97.88218,97.91751,100.21541,100.02395,100.06108,100.17295,100.04052,100.12565,99.29739,99.37288,99.64745,98.44098,98.25815,98.23125,98.84299,98.67565,98.59751
,,,,756.09587,100.53971,101.03476,100.86581,100.73153,100.86322,100.78297,100.42853,100.54767,100.029,101.51135,101.15829,101.28874,99.64437,99.3994,99.28546,97.93691,97.60144,97.66514,99.97713,99.97184,99.95825,100.1364,99.90178,100.04764,99.1796,99.37509,99.51542,98.14073,98.12381,98.09168,98.76304,98.54103,98.48404
,,,,758.02469,100.52579,100.90743,100.86063,100.62682,100.73154,100.60437,100.22564,100.37416,99.87607,101.34487,101.04124,101.13307,99.38653,99.17189,99.14796,97.74272,97.49597,97.53683,99.86978,99.8738,99.82765,100.16425,99.86204,100.02319,98.9793,99.30175,99.33492,97.9112,98.06308,97.90711,98.52179,98.47741,98.44519
,,,,759.9535,100.47949,100.80003,100.74527,100.56816,100.57073,100.47169,100.10968,100.14756,99.65142,101.27297,100.95395,101.00796,99.3366,98.96212,99.11342,97.49637,97.43168,97.38772,99.81706,99.65535,99.62814,100.073,99.80738,99.88741,98.84705,99.02264,99.23137,97.92812,97.90532,97.67613,98.48204,98.38624,98.32499
,,,,761.88232,100.34422,100.69995,100.51148,100.2896,100.32396,100.28526,99.76783,99.84178,99.46555,101.12514,100.78359,100.80386,99.2012,98.84527,98.90568,97.26832,97.23432,97.23224,99.52601,99.37524,99.37915,99.93184,99.7034,99.5911,98.73023,98.75488,99.1412,97.79949,97.73939,97.45658,98.43048,98.18691,98.22961
,,,,763.81114,100.28103,100.60953,100.38272,100.05184,100.22147,100.13843,99.58409,99.62237,99.24001,100.99972,100.72025,100.72192,99.0876,98.807,98.71181,97.02264,96.97183,97.0728,99.40298,99.19388,99.1225,99.8769,99.60275,99.5243,98.66234,98.68455,99.01341,97.55612,97.78795,97.43656,98.39741,98.12568,98.2188
,,,,765.73995,100.29113,100.62607,100.40737,99.97251,100.19188,99.955,99.51979,99.51127,98.97231,100.98589,100.68886,100.83031,99.10468,98.73655,98.7593,96.94496,96.76661,96.94529,99.40186,99.02176,99.0992,99.87337,99.54454,99.65376,98.58626,98.76069,99.00682,97.48272,97.7529,97.52184,98.39359,98.21602,98.21678
,,,,767.66877,100.19076,100.61265,100.34209,99.88099,100.11701,99.80655,99.32789,99.30701,98.77775,100.92188,100.6095,100.84944,98.91742,98.65541,98.79529,96.8977,96.6413,96.73818,99.1707,98.80595,99.0253,99.66893,99.48008,99.63701,98.49547,98.70055,98.93541,97.42019,97.47538,97.34695,98.31888,98.20718,98.11032
,,,,769.59758,100.21234,100.58706,100.31615,99.7854,99.97857,99.64266,99.09915,99.06223,98.67919,100.82933,100.5579,100.73742,98.72142,98.71551,98.75383,96.73183,96.52534,96.57363,98.98872,98.7769,98.93057,99.55465,99.45615,99.6329,98.47022,98.60405,98.79053,97.21924,97.22191,97.20437,98.27633,98.08764,98.11178
,,,,771.5264,100.24471,100.56672,100.33086,99.72281,99.93882,99.49414,98.92736,99.00431,98.63893,100.88512,100.58995,100.77114,98.63109,98.71285,98.64445,96.51936,96.36412,96.52243,98.94277,98.86215,98.88515,99.63859,99.32407,99.64927,98.3923,98.54648,98.65133,97.06662,97.10432,97.16462,98.25593,98.04439,98.10687
,,,,773.45522,100.1629,100.54662,100.23475,99.6635,99.83387,99.457,98.77678,98.91018,98.47119,100.84811,100.57364,100.70645,98.57734,98.46462,98.46769,96.39379,96.19644,96.46338,98.83794,98.69426,98.71275,99.59847,99.24051,99.61009,98.28053,98.3938,98.59286,97.07542,97.05747,97.07369,98.12065,98.09474,97.99972
